timestamp,sender,receiver,message_type,message
2026-07-03 17:30:57,SERVER,ALL,system,Piyush_0 joined the chat
2026-07-03 17:30:57,SERVER,ALL,system,Piyush_1 joined the chat
2026-07-03 17:30:57,Piyush_0,ALL,broadcast,message_1_from_0
2026-07-03 17:30:57,Piyush_0,ALL,broadcast,message_2_from_0
2026-07-03 17:30:57,Piyush_1,ALL,broadcast,message_1_from_1
2026-07-03 17:30:57,Piyush_1,ALL,broadcast,message_2_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_4_from_0
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_4_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_6_from_0
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_6_from_1
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_7_from_1
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_8_from_1
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_9_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_11_from_0
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_12_from_0
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_12_from_1
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_13_from_1
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_14_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_16_from_0
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_16_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_18_from_0
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_19_from_0
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_19_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_21_from_0
2026-07-03 17:30:58,Piyush_1,ALL,broadcast,message_21_from_1
2026-07-03 17:30:58,Piyush_0,ALL,broadcast,message_23_from_0
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_23_from_1
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_24_from_1
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_26_from_0
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_26_from_1
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_27_from_1
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_28_from_1
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_29_from_1
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_31_from_0
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_31_from_1
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_33_from_0
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_34_from_0
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_34_from_1
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_37_from_0
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_38_from_0
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_39_from_0
2026-07-03 17:30:59,Piyush_0,ALL,broadcast,message_41_from_0
2026-07-03 17:30:59,Piyush_1,ALL,broadcast,message_41_from_1
2026-07-03 17:31:00,Piyush_0,ALL,broadcast,message_43_from_0
2026-07-03 17:31:00,Piyush_0,ALL,broadcast,message_44_from_0
2026-07-03 17:31:00,Piyush_0,ALL,broadcast,message_46_from_0
2026-07-03 17:31:00,Piyush_1,ALL,broadcast,message_46_from_1
2026-07-03 17:31:00,Piyush_1,ALL,broadcast,message_47_from_1
2026-07-03 17:31:00,Piyush_0,ALL,broadcast,message_49_from_0
2026-07-03 17:31:00,Piyush_1,ALL,broadcast,message_49_from_1
2026-07-03 17:31:00,SERVER,ALL,system,Piyush_1 left the chat
2026-07-03 17:31:01,SERVER,ALL,system,Piyush_0 joined the chat
2026-07-03 17:31:01,SERVER,ALL,system,Piyush_1 joined the chat
2026-07-03 17:31:01,SERVER,ALL,system,Piyush_2 joined the chat
2026-07-03 17:31:01,Piyush_0,ALL,broadcast,message_1_from_0
